state,year,n,mean_polarity,sd_polarity,pct_negative
TX,2023,125,0.08793,0.10361,4.80000
TX,2024,92,0.07923,0.13749,6.52174
TX,2025,104,0.10643,0.14671,6.73077
UT,2018,2,0.05101,0.00396,0.00000
UT,2019,2,0.05561,0.01894,0.00000
UT,2020,4,0.07785,0.05685,0.00000
UT,2022,3,0.21081,0.18514,0.00000
UT,2023,24,0.10497,0.06999,4.16667
UT,2024,4,0.09405,0.09944,0.00000
UT,2025,12,0.05865,0.08578,0.00000
VA,2018,12,0.12119,0.04152,0.00000
VA,2019,17,0.08999,0.14934,11.76471
VA,2020,31,0.08133,0.13609,6.45161
VA,2021,77,0.11060,0.11316,5.19481
VA,2022,146,0.09475,0.10568,7.53425
VA,2023,134,0.13813,0.11249,4.47761
VA,2024,84,0.07524,0.10304,7.14286
VA,2025,215,0.08526,0.19986,12.55814
VT,2018,1,0.12020,,0.00000
VT,2019,3,0.17383,0.11094,0.00000
VT,2020,3,0.03911,0.11424,33.33333
VT,2021,1,0.14276,,0.00000
VT,2022,3,0.05852,0.01484,0.00000
VT,2023,4,0.11200,0.13239,25.00000
VT,2024,2,0.04176,0.05906,0.00000
VT,2025,11,-0.04971,0.28081,18.18182
WA,2018,11,0.07829,0.06661,0.00000
WA,2019,13,0.04821,0.08577,15.38462
WA,2020,11,0.09653,0.06076,0.00000
WA,2021,11,0.09231,0.04478,0.00000
WA,2022,52,0.08422,0.07707,1.92308
WA,2023,45,0.08736,0.17171,11.11111
WA,2024,46,0.08245,0.17550,4.34783
WA,2025,109,0.11034,0.12338,2.75229
WI,2018,1,0.04758,,0.00000
WI,2019,2,0.15129,0.02621,0.00000
WI,2020,3,0.18000,0.08670,0.00000
WI,2021,7,0.11772,0.13023,0.00000
WI,2022,27,0.05222,0.16029,14.81481
WI,2023,8,0.08999,0.11981,0.00000
WI,2024,23,0.04304,0.18309,13.04348
WI,2025,12,0.06969,0.07626,0.00000
WV,2018,1,0.08978,,0.00000
WV,2019,1,0.13667,,0.00000
WV,2020,2,0.17967,0.11918,0.00000
WV,2021,3,0.14013,0.06881,0.00000
WV,2022,6,0.10786,0.09150,0.00000
WV,2023,4,0.09463,0.06934,0.00000
WV,2024,3,0.07847,0.04326,0.00000
WV,2025,4,0.19539,0.20983,0.00000
WY,2018,1,0.13929,,0.00000
WY,2022,1,0.27604,,0.00000
WY,2023,1,0.05956,,0.00000
WY,2024,2,-0.12000,0.11314,50.00000
WY,2025,7,0.02831,0.03827,14.28571
