institution,state,fy,normalized_query,parent_query,matched_org_name,total_award_amount,n_projects,match_strategy
UPMC McKeesport,PA,2023,UPMC MCKEESPORT,,,0.0,0,no_match
UPMC Medical Education,PA,2023,UPMC MEDICAL EDUCATION,,,0.0,0,no_match
UPMC Mercy Hospital,PA,2023,UPMC MERCY HOSPITAL,UPMC MERCY,,0.0,0,no_match
UPMC Presbyterian Shadyside,PA,2023,UPMC PRESBYTERIAN SHADYSIDE,,,0.0,0,no_match
UPMC St Margaret,PA,2023,UPMC SAINT MARGARET,,,0.0,0,no_match
UPMC Washington Hospital,PA,2023,UPMC WASHINGTON HOSPITAL,UPMC WASHINGTON,,0.0,0,no_match
UPMC Williamsport,PA,2023,UPMC WILLIAMSPORT,,,0.0,0,no_match
UT Ascension St Thomas,TN,2023,UT ASCENSION SAINT THOMAS,,,0.0,0,no_match
UVM Health Network CVPH,NY,2023,UVM HEALTH NETWORK CVPH,,,0.0,0,no_match
Union Hospital,IN,2023,UNION HOSPITAL,UNION,,0.0,0,no_match
United Hospital Ctr,WV,2023,UNITED HOSPITAL CTR,UNITED,,0.0,0,no_match
Unity Health,AR,2023,UNITY HEALTH,,,0.0,0,no_match
UnityPoint Broadlawns,IA,2023,UNITYPOINT BROADLAWNS,,,0.0,0,no_match
Univ Central del Caribe SOM,PR,2023,UNIVERSITY CENTRAL DEL CARIBE SOM,,UNIVERSIDAD CENTRAL DEL CARIBE,734614.0,6,distinctive_tokens_with_state
Univ Hosps Community Consortium,OH,2023,UNIVERSITY HOSPS COMMUNITY CONSORTIUM,UNIVERSITY HOSPS COMMUNITY,,0.0,0,no_match
Univ of Chicago Med Ctr,IL,2023,UNIVERSITY OF CHICAGO MEDICAL CENTER,UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO,501626045.0,1014,parent_institution_with_state
University Hosps-Columbia,MO,2023,UNIVERSITY HOSPS-COLUMBIA,,,0.0,0,no_match
University Hosps-Jackson,MS,2023,UNIVERSITY HOSPS-JACKSON,,,0.0,0,no_match
University at Buffalo SOM,NY,2023,UNIVERSITY AT BUFFALO SOM,,,0.0,0,no_match
University of Toledo,OH,2023,UNIVERSITY OF TOLEDO,,UNIVERSITY OF TOLEDO,14464031.0,47,full_normalized_with_state
VA Greater LA Hlth Sys,CA,2023,VETERANS AFFAIRS GREATER LA HLTH SYS,,,0.0,0,no_match
VCU-Shenandoah Valley,VA,2023,VCU-SHENANDOAH VALLEY,,,0.0,0,no_match
Valley Baptist Med Ctr,TX,2023,VALLEY BAPTIST MEDICAL CENTER,VALLEY BAPTIST,,0.0,0,no_match
Valley Childrens Healthcare,CA,2023,VALLEY CHILDREN'S HEALTHCARE,,,0.0,0,no_match
Valley Consortium,CA,2023,VALLEY CONSORTIUM,VALLEY,,0.0,0,no_match
Valley Health System,NV,2023,VALLEY HEALTH SYSTEM,VALLEY,,0.0,0,no_match
Valley Health Team,CA,2023,VALLEY HEALTH TEAM,,,0.0,0,no_match
Valley Hosp Med Ctr,NV,2023,VALLEY HOSP MEDICAL CENTER,VALLEY HOSP,,0.0,0,no_match
Valley Med Ctr,WA,2023,VALLEY MEDICAL CENTER,VALLEY,,0.0,0,no_match
Vanderbilt Univ Med Ctr,TN,2023,VANDERBILT UNIVERSITY MEDICAL CENTER,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY MEDICAL CENTER,477771648.0,768,full_normalized_with_state
Ventura County Med Ctr,CA,2023,VENTURA COUNTY MEDICAL CENTER,VENTURA COUNTY,,0.0,0,no_match
Virginia Mason Franciscan Health,WA,2023,VIRGINIA MASON FRANCISCAN HEALTH,,,0.0,0,no_match
Virtua Health,NJ,2023,VIRTUA HEALTH,,,0.0,0,no_match
Waco Family Medicine Institute,TX,2023,WACO FAMILY MEDICINE INSTITUTE,,,0.0,0,no_match
Waianae Coast Comprehensive Health,HI,2023,WAIANAE COAST COMPREHENSIVE HEALTH,,WAIANAE COAST COMPREHENSIVE HEALTH CTR,1125000.0,1,full_normalized_with_state
Wake Forest Baptist Med Ctr,NC,2023,WAKE FOREST BAPTIST MEDICAL CENTER,WAKE FOREST BAPTIST,,0.0,0,no_match
WakeMed Health and Hospitals,NC,2023,WAKEMED HEALTH AND HOSPITALS,WAKEMED HEALTH AND,,0.0,0,no_match
Waterbury Hospital,CT,2023,WATERBURY HOSPITAL,WATERBURY,,0.0,0,no_match
Wayne State University SOM,MI,2023,WAYNE STATE UNIVERSITY SOM,,WAYNE STATE UNIVERSITY,89463966.0,213,distinctive_tokens_with_state
Weiss Memorial Hospital,IL,2023,WEISS MEMORIAL HOSPITAL,WEISS,,0.0,0,no_match
WellStar Health System,GA,2023,WELLSTAR HEALTH SYSTEM,WELLSTAR,,0.0,0,no_match
Wellington Reg Med Ctr,FL,2023,WELLINGTON REG MEDICAL CENTER,WELLINGTON REG,,0.0,0,no_match
Wellmont Health System,VA,2023,WELLMONT HEALTH SYSTEM,WELLMONT,,0.0,0,no_match
Wellspan Health Chambersburg Hosp,PA,2023,WELLSPAN HEALTH CHAMBERSBURG HOSP,,,0.0,0,no_match
Wellspan Health Good Sam Hosp,PA,2023,WELLSPAN HEALTH GOOD SAM HOSP,,,0.0,0,no_match
Wellspan Health York Hosp,PA,2023,WELLSPAN HEALTH YORK HOSP,,,0.0,0,no_match
Wellstar Spalding Reg Hosp,GA,2023,WELLSTAR SPALDING REG HOSP,,,0.0,0,no_match
West Kendall Baptist Hospital,FL,2023,WEST KENDALL BAPTIST HOSPITAL,WEST KENDALL BAPTIST,,0.0,0,no_match
West Suburban Med Ctr,IL,2023,WEST SUBURBAN MEDICAL CENTER,WEST SUBURBAN,,0.0,0,no_match
Westchester Medical Ctr,NY,2023,WESTCHESTER MEDICAL CTR,,,0.0,0,no_match
Western Reserve Health Ed/NEOMED,OH,2023,WESTERN RESERVE HEALTH ED,,CASE WESTERN RESERVE UNIVERSITY,220839156.0,446,distinctive_tokens_with_state
Western Reserve Hosp,OH,2023,WESTERN RESERVE HOSP,,,0.0,0,no_match
Wheeling Hospital,WV,2023,WHEELING HOSPITAL,WHEELING,WHEELING JESUIT UNIVERSITY,270000.0,1,parent_institution_with_state
White River Health System,AR,2023,WHITE RIVER HEALTH SYSTEM,WHITE RIVER,,0.0,0,no_match
WiNC GME Consortium,WI,2023,WINC CONSORTIUM,,,0.0,0,no_match
William Beaumont Army Med Ctr,TX,2023,WILLIAM BEAUMONT ARMY MEDICAL CENTER,WILLIAM BEAUMONT ARMY,,0.0,0,no_match
Willis-Knighton Health System,LA,2023,WILLIS-KNIGHTON HEALTH SYSTEM,WILLIS-KNIGHTON,,0.0,0,no_match
Womack Army Med Ctr,NC,2023,WOMACK ARMY MEDICAL CENTER,WOMACK ARMY,,0.0,0,no_match
Woodhull Med Ctr,NY,2023,WOODHULL MEDICAL CENTER,WOODHULL,,0.0,0,no_match
Wright Center for GME,PA,2023,WRIGHT CENTER FOR,,,0.0,0,no_match
Wright State Univ Boonshoft SOM,OH,2023,WRIGHT STATE UNIVERSITY BOONSHOFT SOM,,,0.0,0,no_match
Wyckoff Heights Med Ctr,NY,2023,WYCKOFF HEIGHTS MEDICAL CENTER,WYCKOFF HEIGHTS,,0.0,0,no_match
Yakima Valley Farm Workers Clinic,WA,2023,YAKIMA VALLEY FARM WORKERS CLINIC,,,0.0,0,no_match
Yale-New Haven Hosp,CT,2023,YALE-NEW HAVEN HOSP,,,0.0,0,no_match
Yuma Regional Med Ctr,AZ,2023,YUMA REGIONAL MEDICAL CENTER,,,0.0,0,no_match
Zucker SOM Northern Westchester Med Ctr,NY,2023,ZUCKER SOM NORTHERN WESTCHESTER MEDICAL CENTER,ZUCKER SOM NORTHERN WESTCHESTER,,0.0,0,no_match
Zucker SOM-Northwell Cohen Childrens,NY,2023,ZUCKER SOM-NORTHWELL COHEN CHILDREN'S,,,0.0,0,no_match
Zucker SOM-Northwell Forest Hills Hosp,NY,2023,ZUCKER SOM-NORTHWELL FOREST HILLS HOSP,,,0.0,0,no_match
Zucker SOM-Northwell Glen Cove Hosp,NY,2023,ZUCKER SOM-NORTHWELL GLEN COVE HOSP,,,0.0,0,no_match
Zucker SOM-Northwell Huntington Hosp,NY,2023,ZUCKER SOM-NORTHWELL HUNTINGTON HOSP,,,0.0,0,no_match
Zucker SOM-Northwell Lenox Hill Hosp,NY,2023,ZUCKER SOM-NORTHWELL LENOX HILL HOSP,,,0.0,0,no_match
Zucker SOM-Northwell Mather Hosp,NY,2023,ZUCKER SOM-NORTHWELL MATHER HOSP,,,0.0,0,no_match
Zucker SOM-Northwell NS/LIJ,NY,2023,ZUCKER SOM-NORTHWELL NS,,,0.0,0,no_match
Zucker SOM-Northwell Peconic Bay,NY,2023,ZUCKER SOM-NORTHWELL PECONIC BAY,,,0.0,0,no_match
Zucker SOM-Northwell Phelps Hosp,NY,2023,ZUCKER SOM-NORTHWELL PHELPS HOSP,,,0.0,0,no_match
Zucker SOM-Northwell Plainview Hosp,NY,2023,ZUCKER SOM-NORTHWELL PLAINVIEW HOSP,,,0.0,0,no_match
Zucker SOM-Northwell South Shore,NY,2023,ZUCKER SOM-NORTHWELL SOUTH SHORE,,,0.0,0,no_match
Zucker SOM-Northwell Staten Island Univ,NY,2023,ZUCKER SOM-NORTHWELL STATEN ISLAND UNIVERSITY,,,0.0,0,no_match
Zucker SOM-Northwell Zucker Hillside,NY,2023,ZUCKER SOM-NORTHWELL ZUCKER HILLSIDE,,,0.0,0,no_match
